"","from","to","Tagging","6/23/2022","7/11/2022","7/21/2022","8/10/2022","8/23/2022","9/13/2022","9/27/2022","10/26/2022","4/27/2023","6/4/2023","6/23/2023","7/17/2023","8/15/2023","9/22/2023"
"33","Glacier Lake","Lower Tangle","","","","","","","","","","","","","","",""
"34","","Shallow Tangle","","","","","","","","","","","","","","",""
"35","","Round Tangle","","","","","","","","","","","","","","",""
"36","","Upper Tangle","","","","","","","","","","","","","","",""
"37","","Glacier Lake","","","","","","","","2 100% (0%)","2 100% (0%)","2 100% (0%)","2 100% (0%)","2 100% (0%)","2 100% (0%)","2 100% (0%)","2 100% (0%)"
"38","","At Large","","","","","","","","","","","","","","",""
"39","","Fishing Mort","","","","","","","","","","","","","","",""
"40","","Non-Fishing Mort","","","","","","","","","","","","","","",""
"41","At Large","Lower Tangle","","","","","","","","","","","","","","",""
"42","","Shallow Tangle","","","","","","","","","","","","","","",""
"43","","Round Tangle","","","","","","","","","","","","","","",""
"44","","Upper Tangle","","","","","","","","","","","","","","",""
"45","","Glacier Lake","","","","","","","2 29% (18%)","","","","","","","",""
"46","","At Large","","3 100% (0%)","4 100% (0%)","3 75% (25%)","4 80% (20%)","5 100% (0%)","5 71% (18%)","5 71% (18%)","5 100% (0%)","5 100% (0%)","5 83% (17%)","5 83% (17%)","7 100% (0%)","9 100% (0%)","13 100% (0%)"
"47","","Fishing Mort","","","","","","","","1 14% (14%)","","","","","","",""
"48","","Non-Fishing Mort","","","","1 25% (25%)","1 20% (20%)","","","1 14% (14%)","","","1 17% (17%)","1 17% (17%)","","",""
"49","Fishing Mort","Lower Tangle","","","","","","","","","","","","","","",""
"50","","Shallow Tangle","","","","","","","","","","","","","","",""
"51","","Round Tangle","","","","","","","","","","","","","","",""
"52","","Upper Tangle","","","","","","","","","","","","","","",""
"53","","Glacier Lake","","","","","","","","","","","","","","",""
"54","","At Large","","","","","","","","","","","","","","",""
"55","","Fishing Mort","","1 100% (NaN%)","1 100% (NaN%)","1 100% (NaN%)","3 100% (0%)","3 100% (0%)","3 100% (0%)","3 100% (0%)","4 100% (0%)","4 100% (0%)","4 100% (0%)","5 100% (0%)","7 100% (0%)","7 100% (0%)","7 100% (0%)"
"56","","Non-Fishing Mort","","","","","","","","","","","","","","",""
"57","Non-Fishing Mort","Lower Tangle","","","","","","","","","","","","","","",""
"58","","Shallow Tangle","","","","","","","","","","","","","","",""
"59","","Round Tangle","","","","","","","","","","","","","","",""
"60","","Upper Tangle","","","","","","","","","","","","","","",""
"61","","Glacier Lake","","","","","","","","","","","","","","",""
"62","","At Large","","","","","","","","","","","","","","",""
"63","","Fishing Mort","","","","","","","","","","","","","","",""
"64","","Non-Fishing Mort","","4 100% (0%)","5 100% (0%)","5 100% (0%)","6 100% (0%)","9 100% (0%)","10 100% (0%)","11 100% (0%)","12 100% (0%)","12 100% (0%)","12 100% (0%)","13 100% (0%)","14 100% (0%)","14 100% (0%)","14 100% (0%)"
